StartTime,FromNode,ToNode,SourcePort,DestinationPort,Size,Priority
1000225577ns,h16,h23,2,1,3332655B,0
1000234405ns,h4,h23,2,1,1579544B,0
1000258983ns,h13,h20,2,1,54747B,0
1000282732ns,h8,h22,2,1,25891B,0
1000406071ns,h6,h23,2,1,75678B,0
1000426903ns,h3,h23,2,1,51138B,0
1000506454ns,h9,h22,2,1,1837985B,0
1000549606ns,h12,h23,2,1,30662B,0
1000560081ns,h5,h22,2,1,67676B,0
1000684958ns,h10,h21,2,1,171512B,0
1000696516ns,h6,h21,2,1,5579491B,0
1000753576ns,h15,h22,2,1,74158B,0
1000767989ns,h10,h21,2,2,28183B,0
1001059906ns,h5,h20,2,1,1558042B,0
1001102854ns,h14,h22,2,1,346951B,0
1001109773ns,h2,h21,2,1,25050B,0
1001142000ns,h6,h22,2,1,5696161B,0
1001198105ns,h7,h20,2,1,18523650B,0
1001378070ns,h6,h20,2,1,2306517B,0
1001450688ns,h3,h22,2,1,5154710B,0
1001450769ns,h12,h23,2,2,32029B,0
1001455526ns,h1,h20,2,1,1298317B,0
1001461750ns,h3,h22,2,2,4965148B,0
1001491964ns,h15,h23,2,1,871871B,0
1001559044ns,h13,h22,2,1,66648B,0
1001559938ns,h13,h21,2,1,6713B,0
1001609925ns,h14,h23,2,1,57885B,0
1001853605ns,h1,h23,2,1,287095B,0
1001867468ns,h11,h22,2,1,5929360B,0
1002000473ns,h6,h20,2,2,9757597B,0
1002072328ns,h1,h20,2,2,67771B,0
1002092193ns,h13,h20,2,2,3959297B,0
1002101141ns,h8,h23,2,1,26049B,0
1002107075ns,h16,h20,2,1,2150834B,0
1002175176ns,h11,h23,2,1,112055B,0
1002238203ns,h1,h22,2,1,936B,0
1002298697ns,h9,h21,2,1,1197046B,0
1002314405ns,h8,h22,2,2,49764B,0
1002354889ns,h15,h20,2,1,2745349B,0
1002364304ns,h9,h21,2,2,745225B,0
1002445767ns,h12,h21,2,1,76B,0
1002477062ns,h7,h21,2,1,71594B,0
1002536102ns,h12,h21,2,2,4028083B,0
1002616166ns,h8,h23,2,2,24391B,0
1002678082ns,h2,h20,2,1,35040B,0
1002678310ns,h10,h20,2,1,4114136B,0
1002702999ns,h1,h22,2,2,18213B,0
1002747903ns,h13,h23,2,1,144304B,0
1002824557ns,h3,h20,2,1,23861B,0
1002909651ns,h15,h22,2,2,9824303B,0
1003103929ns,h7,h22,2,1,2095384B,0
1003191666ns,h14,h20,2,1,61069B,0
1003236391ns,h8,h22,2,3,5363B,0
1003286259ns,h10,h21,2,3,34010B,0
1003370235ns,h15,h22,2,3,74909B,0
1003412051ns,h4,h23,2,2,7345273B,0
1003446752ns,h11,h20,2,1,7270B,0
1003470959ns,h13,h23,2,2,116458B,0
1003495252ns,h12,h22,2,1,1065614B,0
1003517507ns,h3,h21,2,1,109898B,0
1003534491ns,h15,h22,2,4,2434005B,0
1003554547ns,h10,h21,2,4,97629B,0
1003571835ns,h14,h21,2,1,9559896B,0
1003573742ns,h4,h21,2,1,225485B,0
1003591133ns,h3,h20,2,2,178772B,0
1003599349ns,h6,h22,2,2,60382B,0
1003719200ns,h5,h23,2,1,193634B,0
1003813501ns,h7,h20,2,2,46980B,0
1003906965ns,h8,h20,2,1,158258B,0
1003995859ns,h2,h21,2,2,29032B,0
1004001607ns,h12,h21,2,3,17878B,0
1004188941ns,h11,h20,2,2,17345B,0
1004201845ns,h7,h20,2,3,302185B,0
1004248113ns,h2,h23,2,1,653275B,0
1004307247ns,h13,h22,2,2,67660B,0
1004327688ns,h5,h21,2,1,5988B,0
1004476933ns,h9,h21,2,3,1576039B,0
1004643132ns,h15,h23,2,2,4303111B,0
1004788558ns,h16,h22,2,1,6670072B,0
1004862715ns,h8,h23,2,3,3273806B,0
1004945218ns,h2,h23,2,2,4945193B,0
1004945413ns,h9,h22,2,2,6648745B,0
1005005753ns,h5,h20,2,2,98171B,0
1005012661ns,h9,h22,2,3,48259B,0
1005019466ns,h4,h20,2,1,1052833B,0
1005192423ns,h10,h23,2,1,27563B,0
1005300001ns,h1,h22,2,3,2348861B,0
1005307508ns,h12,h21,2,4,3484578B,0
1005378249ns,h3,h21,2,2,4851169B,0
1005475707ns,h3,h20,2,3,182516B,0
1005487634ns,h15,h22,2,5,8554633B,0
1005517819ns,h1,h20,2,3,165191B,0
1005533973ns,h9,h21,2,4,61668B,0
1005581456ns,h14,h22,2,2,681963B,0
1005605928ns,h6,h21,2,2,27505226B,0
1005664406ns,h14,h22,2,3,6210086B,0
1005670354ns,h11,h23,2,2,1933250B,0
1005670536ns,h3,h20,2,4,5491B,0
1005706565ns,h11,h20,2,3,302264B,0
1005729719ns,h6,h21,2,3,69948B,0
1005747962ns,h5,h21,2,2,441178B,0
1005797566ns,h4,h20,2,2,3352327B,0
1005818734ns,h4,h20,2,3,24303B,0
1005834073ns,h1,h20,2,4,1314892B,0
1005965246ns,h7,h20,2,4,7808B,0
1006178576ns,h2,h21,2,3,22046B,0
1006327381ns,h6,h20,2,3,1945829B,0
1006336107ns,h12,h23,2,3,36507B,0
1006337826ns,h3,h20,2,5,2477392B,0
1006366825ns,h3,h22,2,3,6707B,0
1006383936ns,h3,h20,2,6,9757B,0
1006563369ns,h1,h20,2,5,981365B,0
1006566809ns,h2,h20,2,2,3015B,0
1006600206ns,h14,h21,2,2,155198B,0
1006607166ns,h4,h21,2,2,5715429B,0
1006636377ns,h7,h20,2,5,87196B,0
1006640766ns,h5,h23,2,2,844713B,0
1006647095ns,h13,h21,2,2,1779B,0
1006651253ns,h10,h20,2,2,479999B,0
1006658794ns,h5,h20,2,3,250707B,0
1006670281ns,h2,h23,2,3,158776B,0
1006688998ns,h6,h20,2,4,48241B,0
1006723372ns,h1,h22,2,4,44027B,0
1006725767ns,h15,h20,2,2,17011100B,0
1006734980ns,h10,h21,2,5,2426B,0
1006785179ns,h14,h20,2,2,1442B,0
1006809203ns,h8,h22,2,4,9359377B,0
1006857872ns,h9,h23,2,1,16994B,0
1006865480ns,h2,h21,2,4,8259B,0
1006881315ns,h15,h20,2,3,21057B,0
1006892426ns,h8,h23,2,4,2022397B,0
1006894259ns,h5,h20,2,4,7640654B,0
1007031804ns,h9,h20,2,1,1518B,0
1007060721ns,h1,h23,2,2,55912B,0
1007080842ns,h13,h21,2,3,6766B,0
1007177024ns,h9,h22,2,4,25991B,0
1007212840ns,h2,h22,2,1,22082B,0
1007223807ns,h9,h23,2,2,575405B,0
1007282929ns,h10,h21,2,6,40058B,0
1007503417ns,h6,h21,2,4,16063B,0
1007590405ns,h11,h20,2,4,73916B,0
1007610726ns,h10,h21,2,7,2625B,0
1007729183ns,h6,h21,2,5,6728B,0
1007869131ns,h4,h22,2,1,22156765B,0
1007879501ns,h6,h22,2,3,19871B,0
1007910232ns,h15,h20,2,4,41711B,0
1007934296ns,h1,h23,2,3,1315983B,0
1008067548ns,h10,h21,2,8,3149796B,0
1008094972ns,h2,h20,2,3,6320147B,0
1008292135ns,h6,h23,2,2,13884B,0
1008300956ns,h11,h23,2,3,781124B,0
1008317888ns,h8,h22,2,5,9753493B,0
1008359466ns,h10,h22,2,1,3870B,0
1008368190ns,h4,h23,2,3,809614B,0
1008369255ns,h10,h22,2,2,3362737B,0
1008440622ns,h2,h21,2,5,38462B,0
1008477212ns,h2,h20,2,4,25068B,0
1008490107ns,h1,h23,2,4,194499B,0
1008568845ns,h15,h22,2,6,59764B,0
1008684391ns,h9,h20,2,2,14963B,0
1008689481ns,h10,h22,2,3,66528B,0
1008735156ns,h2,h21,2,6,52285B,0
1008798717ns,h7,h23,2,1,147050B,0
1008855396ns,h5,h22,2,2,75061B,0
1008908523ns,h15,h22,2,7,32289B,0
1008922450ns,h3,h22,2,4,41430B,0
1008949981ns,h9,h21,2,5,3129835B,0
1008961197ns,h8,h22,2,6,25093B,0
1008962390ns,h8,h23,2,5,132457B,0
1009037629ns,h10,h23,2,2,829B,0
1009129467ns,h8,h20,2,2,1415743B,0
1009160042ns,h16,h20,2,2,37183B,0
1009292665ns,h15,h21,2,1,3046B,0
1009356073ns,h10,h21,2,9,28088B,0
1009416900ns,h12,h21,2,5,24013B,0
1009520909ns,h2,h23,2,4,8794952B,0
1009664921ns,h15,h20,2,5,40445B,0
1009714384ns,h6,h23,2,3,28787B,0
1009738791ns,h13,h20,2,3,41840B,0
